,article_title,country,lastrevid,article_quality,population,Region
70,Ahmad Wali Massoud,Afghanistan,1108236868.0,Start,41.1,SOUTH ASIA
71,Mohammad Daud Miraki,Afghanistan,1112192884.0,C,41.1,SOUTH ASIA
72,Abdul Sattar Mirzakwal,Afghanistan,1044450376.0,Stub,41.1,SOUTH ASIA
73,Abdul Karim Misaq,Afghanistan,1052669338.0,Stub,41.1,SOUTH ASIA
74,Ali Mohammad (politician),Afghanistan,1050463798.0,Stub,41.1,SOUTH ASIA
75,Nasruddin Mohseni,Afghanistan,1095044526.0,Start,41.1,SOUTH ASIA
76,Davood Moradian,Afghanistan,1106284627.0,Stub,41.1,SOUTH ASIA
77,Zalmai Mujadidi,Afghanistan,1104635001.0,Start,41.1,SOUTH ASIA
78,Fazal Haq Mujahid,Afghanistan,1113267490.0,C,41.1,SOUTH ASIA
79,Rahmatullah Nabil,Afghanistan,1112496538.0,Start,41.1,SOUTH ASIA
80,Sardar Mohammad Nadir Naeem,Afghanistan,1038680015.0,Stub,41.1,SOUTH ASIA
81,Daoud Naji,Afghanistan,1110983467.0,Start,41.1,SOUTH ASIA
82,Gholam Rabani Nasher,Afghanistan,916899472.0,Stub,41.1,SOUTH ASIA
83,Muhammad Yunus Nawandish,Afghanistan,1111494390.0,C,41.1,SOUTH ASIA
84,Ali Maisam Nazary,Afghanistan,1107279930.0,Start,41.1,SOUTH ASIA
85,Ghulam Faroq Nijrabi,Afghanistan,1093612575.0,Stub,41.1,SOUTH ASIA
86,Zabih-U-llah Ghazi Noristani,Afghanistan,1001786762.0,Start,41.1,SOUTH ASIA
87,Mohammed Tahir Omar,Afghanistan,996093541.0,Stub,41.1,SOUTH ASIA
88,Nasrin Oryakhil,Afghanistan,1097277701.0,Start,41.1,SOUTH ASIA
89,Murad Quenili,Afghanistan,1093963498.0,Stub,41.1,SOUTH ASIA
90,Ghulam Mohammad Rigi,Afghanistan,918256992.0,Stub,41.1,SOUTH ASIA
91,Ghulam Hassan Safi,Afghanistan,987269301.0,Stub,41.1,SOUTH ASIA
