,lastrevid,prediction
312,1100848745,Stub
313,1096179751,Stub
314,1102185475,Stub
315,1073206939,Start
316,1096414709,C
317,1096183091,Stub
318,1068148753,Stub
319,1099409991,Stub
320,1100037128,Stub
321,1089356576,C
322,1115155777,Start
323,1067754685,Stub
324,1073206214,Stub
325,1039135531,Start
326,1007128573,Stub
327,1110844685,Stub
328,1040878894,Stub
329,1111128923,C
330,1066754349,Start
331,1093400021,C
332,1096426574,Stub
333,1005790906,Stub
334,721029407,Stub
335,1060504858,Start
336,959654287,Stub
337,797826672,Stub
338,1086339086,Start
339,1069153148,Start
340,994878410,Stub
341,1096175549,Stub
342,1113829451,B
343,1108926646,Stub
344,1105357958,C
345,1096261399,Start
346,1096261487,Start
347,1096459313,Start
348,1100374393,C
349,1091481103,B
350,1106856167,Stub
351,1016343362,Start
352,1096678788,Start
353,1073202733,C
354,1069152180,C
355,1096176230,Start
356,1032047313,C
357,994807413,Start
358,1088583026,Start
359,1046857776,Stub
360,1095822812,Start
361,1008108682,Stub
362,1027604306,Stub
363,1099308421,Stub
364,1093711595,Start
365,1114419837,Start
366,1103745376,Start
367,1114420012,Stub
368,1084735335,Start
369,1048485720,C
370,1082547991,Stub
371,1108345283,Start
372,1112117000,Stub
373,1069944070,C
374,1090623549,Start
375,1062820993,Stub
376,1112833785,Stub
377,1114420639,Stub
378,1107982644,Stub
379,1089241404,Start
380,1114902744,C
381,1114420669,Start
382,1048512708,Start
383,980519720,Stub
384,1055697655,Stub
385,1084737845,Start
386,1090630537,Start
387,1114426086,C
388,1112772824,Start
389,1114420707,Start
390,1104655518,C
391,1085393392,Start
392,1107169295,GA
393,933482772,Stub
394,1114426992,Start
395,1057547947,Stub
396,1114420738,Stub
397,1109564586,Start
398,1114426546,Stub
399,1090861179,Start
400,993785842,Stub
401,1086955149,Stub
402,1114420793,Start
403,1097086972,Start
404,1103541474,Start
405,997950968,Stub
406,1114355363,C
407,1112473939,Start
408,1092809567,Start
409,1023595642,Start
410,1089443270,C
411,1115530871,Stub
412,1005030653,Start
413,1080982386,Start
414,1107215721,C
415,1083654825,Start
416,1071736555,C
417,1108787206,C
418,1021127705,Stub
419,1007538469,Stub
420,941916920,Stub
421,1018809630,Start
422,1078570802,Start
423,1112473750,C
424,1112473762,Start
425,1112474612,Stub
426,1069436586,Stub
427,1007537619,Stub
428,1112603346,Start
429,1112275892,C
430,1115494542,Stub
431,1007530580,Start
432,1101206070,C
433,969146003,Stub
434,1105446235,Start
435,969145984,Stub
436,1086163096,Start
437,1100601439,C
438,1115504900,C
