,title,lastrevid
154,Mehmed Kalakula,979382854.0
155,Alfred Karamuço,1098236555.0
156,Ibrahim Karbunara,1053849574.0
157,Ali Këlcyra,1069956844.0
158,Belind Këlliçi,1115829687.0
159,Bajram Kelmendi,1098232331.0
160,Kristo Kirka,1071577370.0
161,Elez Koçi,919356105.0
162,Ali Riza Kolonja,1095185542.0
163,Glauk Konjufca,1110511667.0
164,Xhelal Koprëncka,1106794268.0
165,Kryeziu family,1113466121.0
166,Artur Kuko,1112281132.0
167,Xhavid Leskoviku,1080104315.0
168,Sabit Lulo,1071576324.0
169,Gjon Markagjoni,1114419158.0
170,Tefik Mborja,1112281218.0
171,Fatmir Mediu,1108640753.0
172,Hysni Milloshi,1111101481.0
173,Musa Qazimi,1085455681.0
174,Mustafa Ndroqi,1091483288.0
175,Behxhet Nepravishta,1114419169.0
176,Adrian Neritani,1112281129.0
177,Sali Nivica,1074384873.0
178,Thoma Orologa,1114419178.0
179,Bedri Pejani,1080373501.0
180,Pertef Pogoni,1071576384.0
181,Kadri Prishtina,1115424613.0
182,Ymer Prizreni,1114419180.0
183,Avni Rustemi,1113688253.0
184,Chatin Sarachi,1089622596.0
185,Nebi Sefa,978173646.0
186,Eduard Shalsi,1090651886.0
187,Ylli Vesel Shehu,1002857261.0
188,Athanas Shundi,1090001664.0
189,Xhelal Sveçla,1110419834.0
190,Mehmet Tahsini,1089358942.0
191,Ibrahim Temo,1114899959.0
192,Pavli Terka,1107079359.0
193,Afrim Tole,1091240960.0
194,Sejfi Vllamasi,1073823015.0
195,Syrja Vlora,1109383587.0
196,Visarion Xhuvani,1115321286.0
197,Visar Ymeri,1036757024.0
198,Abdyl Ypi,1075914314.0
199,Xhezair Zaganjori,1106753028.0
200,Menduh Zavalani,1071577719.0
201,Said Abadou,1112193748.0
202,Tahar Allan,1059626268.0
203,Mohamed Seghir Babes,1079379844.0
204,Djelloul Baghli,1053461392.0
205,Noureddine Bahbouh,1099284595.0
206,Lamine Bechichi,1111537825.0
207,Bakhti Belaïb,1107713309.0
208,Mohamed Belouizdad,1102331624.0
209,Mourad Benachenou,1091746754.0
210,Benaouda Hadj Hacène Bachterzi,1064464792.0
211,Souad Bendjaballah,1064463751.0
212,Mohammed Saleh Bendjelloul,1064459314.0
213,Mohamed Bensalam,1053464158.0
214,Said Boualam,1104123484.0
215,Abdeslam Bouchouareb,1053459025.0
216,Brahim Chibout,1053460621.0
217,Bouras Djamel,1072064909.0
218,Ahmed Djebbar,1112131049.0
219,Fatiha Serour,1019766063.0
220,Mohamed Hassaïne,1098798192.0
221,Ibrahim Boughali,1110540602.0
222,Abdenour Keramane,1028900906.0
223,Abelkader Khamri,1088927932.0
224,Mahmoud Khedri,1102198843.0
225,Mohamed Laïchoubi,1053469601.0
226,Sassi Lamouri,1053478920.0
227,Mohamed Maghlaoui,1053469610.0
228,Amar Makhloufi,1053459748.0
229,Hacen Mefti,1053461924.0
230,Mokhtar Meherzi,1028900891.0
231,Mohamed Elias Mesli,1009461580.0
232,Azzedine Mihoubi,1031600815.0
233,Cherif Rahmani,1053461144.0
234,Naima Salhi,1113203380.0
235,Guillem d'Areny-Plandolit,1100710928.0
236,Guillem Areny,1101200095.0
237,Joan Armengol,1105550472.0
238,Francesc Badia Batalla,1102180575.0
239,Josep Maria Beal,1104772844.0
240,Climent Palmitjavila,1102731108.0
241,Antoni Puigdellívol,1100253414.0
242,Òscar Ribas Reig,1105529195.0
243,Boris Skossyreff,1114575861.0
244,Enric Tarrado Vives,986671433.0
245,Alexandre Sebastião André,979043156.0
246,Isaac Maria dos Anjos,1087791055.0
247,Paulino Baptista,1098277989.0
248,João Baptista Borges,1108136082.0
249,Branca Manuel Espirito Santo,1082903108.0
250,André Luís Brandão,1092527809.0
251,André Gaspar Mendes de Carvalho,871672690.0
252,Carolina Cerqueira,1081277226.0
253,Arlete Chimbinda,1101656146.0
254,Kafundanga Chingunji,1111470901.0
255,Jeremias Chitunda,1076646666.0
256,Abel Chivukuvuku,987997249.0
257,Adalberto Costa Júnior,1107102259.0
258,Adjany Costa,1081302172.0
259,Álvaro Arnaldo Craveiro,1112653739.0
260,Raul Danda,1099408586.0
261,Carlos António Fernandes,1003396569.0
262,Fiel Domingos Constantino,1082902869.0
263,Abraão Gourgel,1080440646.0
264,Maria Monteiro Jardin,1095470855.0
265,José da Rocha,1094974511.0
266,Mateus de Brito Júnior,1054271575.0
267,Kambamba Kulaxingo,1093124425.0
268,Abel Xavier Nzuzi Lubota,1080325199.0
269,David Mendes,1024544204.0
270,Fernando Faustino Muteka,1079490106.0
271,José Ndele,1101583647.0
272,Daniel Ntongi-Nzinga,848334573.0
273,Pedro Tonho Pedale,1113903559.0
274,Elias Salupeto Pena,994023688.0
275,Pinda Simão,1115384278.0
276,Johnny Eduardo Pinnock,992923654.0
277,Santana André Pitra,886771177.0
278,José Aníbal Lopes Rocha,985054758.0
279,Luís Gomes Sambo,1114131425.0
280,José Filomeno dos Santos,1111269228.0
281,Jonas Savimbi,1115807457.0
282,Manuel Bernardo de Sousa,886461023.0
283,Augusto da Silva Tomás,1112407992.0
284,Luzia Inglês Van-Dúnem,1067323463.0
285,Manuel Vicente,1106406859.0
286,Mfulupinga Nlando Victor,994085067.0
287,Randolph Beazer,1094157275.0
288,Studiation Brown,825090349.0
289,Colin O'Neil Browne,1108425154.0
290,James Carlisle,1112658085.0
291,Gail Christian,1082380535.0
292,Osbert Richard Frederick,1082381271.0
293,William Haynes-Smith,1037116181.0
294,Tim Hector,1075044001.0
295,Cheryl Mary Clare Hurst,1082380270.0
296,Wilfred Jacobs,1110866224.0
297,Harold Lovell,1106157497.0
298,John Lyons (Antiguan politician),1102523754.0
299,Edmond Mansoor,1106044619.0
300,Joanne Massiah,1095742971.0
301,Melford Walter Nicholas,1113392435.0
302,Bernard Percival,1073473676.0
303,Alincia Williams-Grant,1080767913.0
304,Joaquín Samuel de Anchorena,1096421201.0
305,Juan Agustín Augier,989941326.0
306,Uladislao Augier,1083670137.0
307,Joaquín Belgrano,1033486500.0
308,Antonio Bermejo,1111012579.0
309,Antonio Beruti,1072761348.0
310,Héctor Bidonde,1091652004.0
311,Silvano Bores,1035890502.0
312,Pedro Braillard Poccard,1100848745.0
313,Exequiel Bustillo,1096179751.0
314,Mario Cafiero,1102185475.0
315,Alberto Manuel Campos,1073206939.0
316,Alejo Castex,1096414709.0
317,Dámaso Centeno,1096183091.0
318,Carlos Corach,1068148753.0
319,Jorge Coscia,1099409991.0
320,Juan Carlos Del Bello,1100037128.0
321,Luis L. Domínguez,1089356576.0
322,Máximo Etchecopar,1115155777.0
323,Héctor Toty Flores,1067754685.0
324,Juan Fugl,1073206214.0
325,Santiago Gallo,1039135531.0
326,Manuel José García,1007128573.0
327,Juan José Gómez Centurión,1110844685.0
328,Luis Carlos Gómez Centurión,1040878894.0
329,Martín Guzmán,1111128923.0
330,Federico Helguera,1066754349.0
331,Fernando Iglesias (Argentine politician),1093400021.0
332,Ricardo Kennedy,1096426574.0
333,Carlos Kunkel,1005790906.0
334,Norberto La Porta,721029407.0
335,Andrés Larroque,1060504858.0
